"Date","Clicks","Visits"
"1/1/2020","369","781"
"1/2/2020","213","577"
"1/3/2020","405","733"
"1/4/2020","161","683"
"1/5/2020","140","967"
"1/6/2020","496","518"
"1/7/2020","193","931"
"1/8/2020","398","633"
"1/9/2020","398","611"
"1/10/2020","341","770"
"1/11/2020","414","770"
"1/12/2020","166","972"
"1/13/2020","264","990"
"1/14/2020","332","675"
"1/15/2020","370","525"
"1/16/2020","337","879"
"1/17/2020","418","746"
"1/18/2020","469","931"
"1/19/2020","277","539"
"1/20/2020","438","811"
"1/21/2020","172","609"
"1/22/2020","344","981"
"1/23/2020","389","901"
"1/24/2020","244","833"
"1/25/2020","191","645"
"1/26/2020","467","553"
"1/27/2020","327","804"
"1/28/2020","259","959"
"1/29/2020","205","884"
"1/30/2020","366","862"
"1/31/2020","239","656"
"2/1/2020","372","533"
"2/2/2020","360","638"
"2/3/2020","390","726"
"2/4/2020","443","835"
"2/5/2020","477","900"
"2/6/2020","120","641"
"2/7/2020","278","884"
"2/8/2020","123","520"
"2/9/2020","295","973"
"2/10/2020","265","515"
"2/11/2020","466","955"
"2/12/2020","483","850"
"2/13/2020","465","818"
"2/14/2020","321","854"
"2/15/2020","477","973"
"2/16/2020","267","739"
"2/17/2020","148","966"
"2/18/2020","345","755"
"2/19/2020","279","706"
"2/20/2020","394","697"
"2/21/2020","406","754"
"2/22/2020","306","877"
"2/23/2020","377","840"
"2/24/2020","467","895"
"2/25/2020","223","507"
"2/26/2020","333","689"
"2/27/2020","433","717"
"2/28/2020","283","595"
"2/29/2020","189","944"
"3/1/2020","483","635"
"3/2/2020","457","909"
"3/3/2020","500","543"
"3/4/2020","158","526"
"3/5/2020","272","754"
"3/6/2020","135","616"
"3/7/2020","372","685"
"3/8/2020","479","806"
"3/9/2020","338","899"
"3/10/2020","497","574"
"3/11/2020","335","586"
"3/12/2020","157","541"
"3/13/2020","368","919"
"3/14/2020","385","577"
"3/15/2020","438","719"
"3/16/2020","213","680"
"3/17/2020","415","723"
"3/18/2020","273","709"
"3/19/2020","473","532"
"3/20/2020","303","543"
"3/21/2020","315","688"
"3/22/2020","207","544"
"3/23/2020","448","621"
"3/24/2020","375","518"
"3/25/2020","374","698"
"3/26/2020","181","850"
"3/27/2020","219","796"
"3/28/2020","499","564"
"3/29/2020","310","519"
"3/30/2020","200","717"
"3/31/2020","273","618"
"4/1/2020","271","904"
"4/2/2020","263","597"
"4/3/2020","210","731"
"4/4/2020","490","592"
"4/5/2020","233","505"
"4/6/2020","443","686"
"4/7/2020","342","633"
"4/8/2020","111","839"
"4/9/2020","361","755"
"4/10/2020","274","606"
"4/11/2020","325","798"
"4/12/2020","236","785"
"4/13/2020","218","710"
"4/14/2020","347","843"
"4/15/2020","497","840"
"4/16/2020","420","821"
"4/17/2020","386","884"
"4/18/2020","493","981"
"4/19/2020","189","509"
"4/20/2020","366","521"
"4/21/2020","165","738"
"4/22/2020","347","509"
"4/23/2020","471","850"
"4/24/2020","476","704"
"4/25/2020","469","922"
"4/26/2020","129","590"
"4/27/2020","101","670"
"4/28/2020","171","856"
"4/29/2020","208","702"
"4/30/2020","287","776"
"5/1/2020","190","553"
"5/2/2020","232","833"
"5/3/2020","424","630"
"5/4/2020","298","886"
"5/5/2020","183","685"
"5/6/2020","217","615"
"5/7/2020","132","539"
"5/8/2020","269","658"
"5/9/2020","367","741"
"5/10/2020","133","842"
"5/11/2020","355","635"
"5/12/2020","397","568"
"5/13/2020","343","824"
"5/14/2020","217","647"
"5/15/2020","479","689"
"5/16/2020","339","668"
"5/17/2020","435","959"
"5/18/2020","308","581"
"5/19/2020","498","922"
"5/20/2020","496","897"
"5/21/2020","102","879"
"5/22/2020","269","501"
"5/23/2020","273","703"
"5/24/2020","318","849"
"5/25/2020","217","543"
"5/26/2020","470","971"
"5/27/2020","298","618"
"5/28/2020","497","724"
"5/29/2020","453","597"
"5/30/2020","202","841"
"5/31/2020","371","601"
"6/1/2020","402","856"
"6/2/2020","384","902"
"6/3/2020","281","881"
"6/4/2020","374","837"
"6/5/2020","283","666"
"6/6/2020","309","663"
"6/7/2020","448","746"
"6/8/2020","326","941"
"6/9/2020","330","655"
"6/10/2020","309","971"
"6/11/2020","112","647"
"6/12/2020","180","526"
"6/13/2020","491","892"
"6/14/2020","249","784"
"6/15/2020","464","773"
"6/16/2020","152","857"
"6/17/2020","321","986"
"6/18/2020","214","639"
"6/19/2020","131","684"
"6/20/2020","348","530"
"6/21/2020","332","505"
"6/22/2020","373","562"
"6/23/2020","314","812"
"6/24/2020","396","791"
"6/25/2020","247","978"
"6/26/2020","461","508"
"6/27/2020","154","671"
"6/28/2020","344","685"
"6/29/2020","368","704"
"6/30/2020","420","779"
"7/1/2020","374","760"
"7/2/2020","239","661"
"7/3/2020","168","762"
"7/4/2020","270","980"
"7/5/2020","136","766"
"7/6/2020","416","692"
"7/7/2020","130","645"
"7/8/2020","212","991"
"7/9/2020","112","944"
"7/10/2020","438","929"
"7/11/2020","179","528"
"7/12/2020","185","977"
"7/13/2020","273","630"
"7/14/2020","347","695"
"7/15/2020","226","966"
"7/16/2020","478","698"
"7/17/2020","403","975"
"7/18/2020","393","722"
"7/19/2020","484","878"
"7/20/2020","173","817"
"7/21/2020","485","898"
"7/22/2020","482","779"
"7/23/2020","440","532"
"7/24/2020","294","636"
"7/25/2020","379","975"
"7/26/2020","150","774"
"7/27/2020","122","558"
"7/28/2020","441","812"
"7/29/2020","123","930"
"7/30/2020","341","897"
"7/31/2020","300","878"
"8/1/2020","106","848"
"8/2/2020","209","866"
"8/3/2020","470","934"
"8/4/2020","493","630"
"8/5/2020","365","987"
"8/6/2020","453","689"
"8/7/2020","227","874"
"8/8/2020","169","920"
"8/9/2020","113","571"
"8/10/2020","234","911"
"8/11/2020","489","516"
"8/12/2020","287","989"
"8/13/2020","264","1000"
"8/14/2020","272","731"
"8/15/2020","172","618"
"8/16/2020","396","896"
"8/17/2020","317","725"
"8/18/2020","157","965"
"8/19/2020","370","685"
"8/20/2020","236","544"
"8/21/2020","212","963"
"8/22/2020","160","981"
"8/23/2020","252","925"
"8/24/2020","357","933"
"8/25/2020","193","802"
"8/26/2020","462","942"
"8/27/2020","277","876"
"8/28/2020","171","513"
"8/29/2020","444","736"
"8/30/2020","328","848"
"8/31/2020","201","511"
"9/1/2020","288","534"
"9/2/2020","187","750"
"9/3/2020","472","524"
"9/4/2020","289","987"
"9/5/2020","394","864"
"9/6/2020","131","870"
"9/7/2020","150","874"
"9/8/2020","177","914"
"9/9/2020","287","779"
"9/10/2020","270","731"
"9/11/2020","371","894"
"9/12/2020","391","764"
"9/13/2020","167","915"
"9/14/2020","470","983"
"9/15/2020","392","621"
"9/16/2020","480","640"
"9/17/2020","386","565"
"9/18/2020","411","692"
"9/19/2020","187","918"
"9/20/2020","260","682"
"9/21/2020","420","746"
"9/22/2020","477","858"
"9/23/2020","373","579"
"9/24/2020","346","733"
"9/25/2020","327","527"
"9/26/2020","402","965"
"9/27/2020","238","978"
"9/28/2020","329","587"
"9/29/2020","172","823"
"9/30/2020","331","678"
"10/1/2020","114","808"
"10/2/2020","363","945"
"10/3/2020","334","654"
"10/4/2020","358","888"
"10/5/2020","288","816"
"10/6/2020","404","983"
"10/7/2020","402","680"
"10/8/2020","207","867"
"10/9/2020","443","952"
"10/10/2020","233","542"
"10/11/2020","260","763"
"10/12/2020","333","744"
"10/13/2020","433","731"
"10/14/2020","345","788"
"10/15/2020","303","711"
"10/16/2020","382","634"
"10/17/2020","364","681"
"10/18/2020","173","553"
"10/19/2020","116","615"
"10/20/2020","467","749"
"10/21/2020","192","592"
"10/22/2020","313","925"
"10/23/2020","105","650"
"10/24/2020","242","572"
"10/25/2020","133","853"
"10/26/2020","181","658"
"10/27/2020","341","681"
"10/28/2020","328","953"
"10/29/2020","212","670"
"10/30/2020","120","630"
"10/31/2020","270","522"
"11/1/2020","339","665"
"11/2/2020","380","561"
"11/3/2020","218","754"
"11/4/2020","441","887"
"11/5/2020","268","528"
"11/6/2020","103","511"
"11/7/2020","201","731"
"11/8/2020","373","877"
"11/9/2020","358","796"
"11/10/2020","378","542"
"11/11/2020","492","700"
"11/12/2020","182","715"
"11/13/2020","254","910"
"11/14/2020","200","708"
"11/15/2020","217","652"
"11/16/2020","103","538"
"11/17/2020","415","777"
"11/18/2020","193","965"
"11/19/2020","116","730"
"11/20/2020","348","784"
"11/21/2020","270","887"
"11/22/2020","192","956"
"11/23/2020","189","816"
"11/24/2020","124","594"
"11/25/2020","144","755"
"11/26/2020","482","641"
"11/27/2020","347","803"
"11/28/2020","487","857"
"11/29/2020","406","788"
"11/30/2020","173","831"
"12/1/2020","423","888"
"12/2/2020","486","559"
"12/3/2020","258","908"
"12/4/2020","426","740"
"12/5/2020","103","719"
"12/6/2020","211","794"
"12/7/2020","251","509"
"12/8/2020","189","825"
"12/9/2020","450","616"
"12/10/2020","377","664"
"12/11/2020","104","951"
"12/12/2020","349","807"
"12/13/2020","475","853"
"12/14/2020","184","714"
"12/15/2020","406","572"
"12/16/2020","333","776"
"12/17/2020","402","500"
"12/18/2020","464","606"
"12/19/2020","468","843"
"12/20/2020","303","784"
"12/21/2020","196","963"
"12/22/2020","356","922"
"12/23/2020","110","830"
"12/24/2020","134","682"
"12/25/2020","237","662"
"12/26/2020","135","970"
"12/27/2020","336","597"
"12/28/2020","246","702"
"12/29/2020","344","977"
"12/30/2020","209","677"
"12/31/2020","278","879"
"","",""
